signal_label,horizon,n_events_raw,n_events_dedup,n_events_scored,n_effective,mean_event_return,median_event_return,hit_rate_event,p10_event_return,p25_event_return,p75_event_return,p90_event_return,mean_cluster_return,median_cluster_return,hit_rate_cluster,t_stat,p_value,universe,return_type,research_block,p_fdr
pmarp_up2_accept_rvol_recent3,5,718,665,664,317,0.006102230909516866,0.005622464389059667,0.5542168674698795,-0.07510281192888371,-0.027770631663348033,0.04082391449689965,0.07562982495546199,0.004854480484947473,0.006353937241923013,0.555205047318612,1.391069835541549,0.16518290632769445,pool,raw,pmarp_rvol_lift,0.1751939915596759
pmarp_up2_accept_rvol_recent3,10,718,630,628,307,0.015563235722574748,0.009526586470615994,0.552547770700637,-0.07305269532939611,-0.029693842667769477,0.0532901476408133,0.11125779297441461,0.011231163100661664,0.005317829575864685,0.5276872964169381,2.5435990656368364,0.01146349833289771,pool,raw,pmarp_rvol_lift,0.01744445398484434
pmarp_up2_accept_rvol_recent3,20,718,602,599,299,0.027353883796632505,0.024340206544038345,0.5926544240400667,-0.1062069478824933,-0.041180600458489924,0.08492816793713176,0.14575490116011808,0.022090629672893394,0.012991699747383567,0.568561872909699,2.950912911962445,0.0034198544851394333,pool,raw,pmarp_rvol_lift,0.006972418162676627
pmarp_up2_accept_rvol_recent3,40,718,545,530,282,0.06094056015087393,0.03440895796933163,0.5754716981132075,-0.14130934371621987,-0.06946308435324569,0.14046644834370964,0.25649358242114073,0.04265230776597194,0.015031682930142742,0.5460992907801419,2.8687918733611744,0.0044329701824895465,pool,raw,pmarp_rvol_lift,0.008165997704586007
pmarp_up2_accept_rvol_recent3,60,718,507,468,255,0.06552306179317312,0.0347660942632283,0.5811965811965812,-0.1759105674684854,-0.08001260252800516,0.14016280979539797,0.27920638932416736,0.05683929007637546,0.030554109365074633,0.5764705882352941,2.939889494789914,0.0035858150550908364,pool,raw,pmarp_rvol_lift,0.006972418162676627
pmarp_up2_accept_rvol_recent5,5,1107,968,966,418,0.003732365025720328,0.00458222059117519,0.5351966873706004,-0.07555587149881055,-0.03131470073983192,0.03903915985500961,0.07373700726212007,0.002592224052307089,0.004637735742021781,0.5358851674641149,0.8435654829164705,0.3993958904489504,pool,raw,pmarp_rvol_lift,0.3993958904489504
pmarp_up2_accept_rvol_recent5,10,1107,904,900,402,0.01149406408083343,0.0076188705834348,0.5444444444444444,-0.07970711481801789,-0.03151062867480778,0.049751282897321225,0.10591093771804384,0.008025400965561863,0.003972783045084305,0.527363184079602,2.141472785420964,0.03283801301566883,pool,raw,pmarp_rvol_lift,0.04256779464994107
pmarp_up2_accept_rvol_recent5,20,1107,830,824,386,0.025255736152764163,0.020452533451618793,0.5861650485436893,-0.10289968000791423,-0.04116392488573867,0.0815344045728501,0.14186626070238204,0.020036130097663484,0.013958720008073883,0.5647668393782384,3.4673200020699424,0.0005850062214764853,pool,raw,pmarp_rvol_lift,0.0013650145167784656
pmarp_up2_accept_rvol_recent5,40,1107,740,719,365,0.056305134622058974,0.03934814402117137,0.5855354659248957,-0.14137482491198147,-0.06760136379271209,0.1376272132418639,0.25253747740508287,0.042221269464400704,0.017495965020568938,0.5616438356164384,3.4731562839416483,0.0005763040609456917,pool,raw,pmarp_rvol_lift,0.0013650145167784656
pmarp_up2_accept_rvol_recent5,60,1107,689,635,327,0.06595698352412965,0.03595861454025551,0.6047244094488189,-0.17463268145519986,-0.07385626732132933,0.15528869647193455,0.2911631559074855,0.06047591027601651,0.030690913288672017,0.6055045871559633,4.219616127310683,3.175973800818204e-05,pool,raw,pmarp_rvol_lift,0.00015797847328423594
