sample,signal_label,horizon,n_events,n_effective,mean_return,median_return,hit_rate,t_stat,p_value,p_fdr
Full,cross_up_2.0,7,9978,976,0.0024224403838994687,0.0007500525287349013,0.5153688524590164,2.027305951470835,0.04290276784091323,0.04290276784091323
Full,cross_up_2.0,30,9487,953,0.006584563645083233,0.0019047094037549228,0.5131164742917104,2.5125214358748464,0.01215153534289176,0.01822730301433764
Full,cross_up_2.0,60,9064,923,0.02795757344685382,0.012168812700296183,0.551462621885157,4.39629276349265,1.2292877476961443e-05,3.687863243088433e-05
IS,cross_up_2.0,7,7054,696,0.0002230650330339403,-0.0004575856203293918,0.492816091954023,0.16685618567875024,0.8675317416307811,0.867531741630781
IS,cross_up_2.0,30,7044,696,0.0016691211176582594,-0.0007661423233016448,0.4985632183908046,0.5969818874245202,0.5507138954100279,0.8260708431150419
IS,cross_up_2.0,60,7042,696,0.01885396351717293,0.010464262702867272,0.5431034482758621,2.7177252590941583,0.006737008688359287,0.02021102606507786
OOS,cross_up_2.0,7,2924,280,0.007889459113193784,0.005267115933263768,0.5714285714285714,3.17471287165896,0.0016678117838829598,0.0016678117838829596
OOS,cross_up_2.0,30,2443,257,0.019896423563712743,0.006947790005056085,0.5525291828793775,3.3029402671045456,0.0010932423375643386,0.0016398635063465078
OOS,cross_up_2.0,60,2022,227,0.05586996336340843,0.03408232751328891,0.5770925110132159,3.8327634200177574,0.00016427549881713101,0.000492826496451393
