ma_window,threshold,event_type,target,horizon,event_n,event_mean,non_event_mean,mean_diff,hit_rate,non_event_hit_rate
20,0.2,low_recovery,SPY,5,19,-0.003338565219791484,0.002511994155311261,-0.005850559375102745,0.42105263157894735,0.5929411764705882
20,0.2,low_recovery,SPY,10,19,-0.003468793225125809,0.005119406954292113,-0.008588200179417922,0.5789473684210527,0.6196850393700788
20,0.2,low_recovery,SPY,20,19,0.01230388028596989,0.009750012314161545,0.002553867971808345,0.6842105263157895,0.6611111111111111
20,0.2,low_recovery,SPY,60,12,0.03452232755913064,0.02727927552757186,0.007243052031558783,0.6666666666666666,0.7253463732681337
20,0.2,low_recovery,QQQ,5,19,-0.006705038926467957,0.003142155794139307,-0.009847194720607265,0.42105263157894735,0.5882352941176471
20,0.2,low_recovery,QQQ,10,19,-0.0071413199722992,0.0064891327560453885,-0.013630452728344587,0.42105263157894735,0.6015748031496063
20,0.2,low_recovery,QQQ,20,19,0.010859834878218634,0.012383119366644272,-0.0015232844884256382,0.631578947368421,0.6404761904761904
20,0.2,low_recovery,QQQ,60,12,0.04667154263746426,0.03480718461919699,0.011864358018267268,0.6666666666666666,0.6837815810920945
20,0.2,low_recovery,SOXX,5,18,-0.007347583958007769,0.005198372881296188,-0.012545956839303957,0.3888888888888889,0.5621970920840065
20,0.2,low_recovery,SOXX,10,18,-0.005896020956232571,0.01087411343345582,-0.01677013438968839,0.4444444444444444,0.5717761557177615
20,0.2,low_recovery,SOXX,20,18,0.019477524008644293,0.021095413416027133,-0.00161788940738284,0.5555555555555556,0.5919869174161897
20,0.2,low_recovery,SOXX,60,11,0.07353000372830563,0.05696853066397933,0.0165614730643263,0.6363636363636364,0.6352941176470588
20,0.25,low_recovery,SPY,5,22,0.00045713895347306146,0.0024601436728533114,-0.00200300471938025,0.5454545454545454,0.5911949685534591
20,0.25,low_recovery,SPY,10,22,0.0038574125063001678,0.005012530927809778,-0.0011551184215096103,0.5909090909090909,0.6195737963693765
20,0.25,low_recovery,SPY,20,22,0.018016550447005994,0.009643934074337982,0.008372616372668012,0.6818181818181818,0.6610978520286396
20,0.25,low_recovery,SPY,60,13,0.03997964672786539,0.027215500485789548,0.012764146242075839,0.6923076923076923,0.7251223491027733
20,0.25,low_recovery,QQQ,5,22,-0.0021457108877112204,0.0030865240074326827,-0.005232234895143903,0.45454545454545453,0.5880503144654088
20,0.25,low_recovery,QQQ,10,22,0.003757121623406538,0.006332167991309405,-0.0025750463679028667,0.5,0.6006314127861089
20,0.25,low_recovery,QQQ,20,22,0.020476843972277326,0.012218438104429463,0.008258405867847863,0.7272727272727273,0.6388225934765315
