ma_window,threshold,event_type,primary_cell,event_n_short,event_n_long,first_valid_date,last_date,effective_years,events_per_year,event_hit,baseline_hit,hit_lift_pp,perm_p,perm_sampling_method,perm_success_rate,strategy_cagr_pp,bnh_cagr_pp,excess_cagr_pp,excess_cagr_ci_low,excess_cagr_ci_high,excess_cagr_share_negative,n_trades,exposure_pct,target_same_sign_count,target_same_sign_targets,short_horizon_same_sign_count,short_horizon_same_sign_horizons,long_horizon_diff,h1_freq_pass,h2_hit_pass,h3_target_pass,h4_short_horizon_pass,h5_perm_pass,h6_strategy_pass,passes_count_param
20,0.2,low_recovery,QQQ_10d,19,13,2021-03-01,2026-04-28,5.1468,3.6916,42.10526315789473,60.15748031496063,-18.052217157065897,0.9280719280719281,rejection,1.0,-3.774537412631984,14.770382421120388,-18.544919833752374,-21.130988944391632,-13.073162479510893,1.0,19,14.649190439475712,0,,0,,0.011864358018267268,True,False,False,False,False,False,1
20,0.25,low_recovery,QQQ_10d,22,14,2021-03-01,2026-04-28,5.1468,4.2745,50.0,60.063141278610885,-10.063141278610885,0.608,rejection,0.999,0.11264681138938304,14.770382421120388,-14.657735609731006,-18.714374925121223,-9.637747161902453,1.0,22,16.962220508866615,1,SOXX,1,20,0.017459273223738185,False,False,False,False,False,False,0
20,0.3,low_recovery,QQQ_10d,28,17,2021-03-01,2026-04-28,5.1468,5.4402,67.85714285714286,59.71451229183188,8.14263056531098,0.238,rejection,0.499,3.6991593098930187,14.770382421120388,-11.071223111227368,-16.75247028246528,-8.00667612893895,1.0,28,21.58828064764842,3,"SPY,QQQ,SOXX",2,"10,20",0.020476672333718277,False,False,True,True,False,False,2
20,0.7,high_strength,QQQ_10d,29,16,2021-03-01,2026-04-28,5.1468,5.6345,55.172413793103445,60.0,-4.827586206896555,0.4308571428571429,rejection,0.874,2.8038249537462256,14.770382421120388,-11.966557467374162,-16.80971190551072,-8.399375823123929,1.0,29,22.35929067077872,2,"SPY,QQQ",2,"5,10",-0.01511456219026459,False,False,False,True,False,False,1
20,0.75,high_strength,QQQ_10d,23,14,2021-03-01,2026-04-28,5.1468,4.4688,69.56521739130434,59.71563981042654,9.849577580877806,0.4668803418803419,rejection,0.935,1.9363369293635913,14.770382421120388,-12.834045491756797,-17.354673641388086,-8.975398986697286,1.0,23,17.733230531996917,2,"SPY,QQQ",3,"5,10,20",-0.0046867876611310505,False,False,False,True,False,False,1
20,0.8,high_strength,QQQ_10d,14,9,2021-03-01,2026-04-28,5.1468,2.7201,71.42857142857143,59.76470588235294,11.663865546218489,0.46053946053946054,rejection,1.0,0.13296641968219003,14.770382421120388,-14.637416001438197,-18.082964172871375,-10.193547627566414,1.0,13,10.023130300693909,0,,1,5,-0.02261738845539356,True,False,False,False,False,False,1
50,0.2,low_recovery,QQQ_10d,7,5,2021-04-13,2026-04-28,5.0278,1.3923,57.14285714285714,59.34504792332268,-2.2021907804655427,0.1958041958041958,rejection,1.0,1.9648467499267408,13.97803174991543,-12.01318499998869,-14.97316371703112,-10.56793841636916,1.0,7,5.524861878453039,3,"SPY,QQQ,SOXX",2,"10,20",0.07045718784337623,False,False,True,True,False,False,2
50,0.25,low_recovery,QQQ_10d,14,10,2021-04-13,2026-04-28,5.0278,2.7845,50.0,59.43775100401606,-9.437751004016057,0.4878048780487805,rejection,0.942,-0.7359895279125062,13.97803174991543,-14.714021277827937,-17.055300724575634,-11.24212629403025,1.0,14,11.049723756906078,1,SOXX,2,"5,20",0.005437403697133171,True,False,False,True,False,False,2
50,0.3,low_recovery,QQQ_10d,17,12,2021-04-13,2026-04-28,5.0278,3.3812,35.294117647058826,59.66183574879227,-24.367718101733445,0.9393939393939394,rejection,0.494,-5.849367964686369,13.97803174991543,-19.8273997146018,-20.98401374869163,-14.174214340087444,1.0,17,13.417521704814522,0,,1,20,-0.0060922704008198394,True,False,False,False,False,False,1
50,0.7,high_strength,QQQ_10d,19,12,2021-04-13,2026-04-28,5.0278,3.779,63.1578947368421,59.2741935483871,3.8837011884549995,0.6803196803196803,rejection,1.0,-0.06639263621170954,13.97803174991543,-14.04442438612714,-16.98478092550638,-10.89794520141396,1.0,19,14.99605367008682,0,,0,,-0.008990966171548227,True,False,False,False,False,False,1
50,0.75,high_strength,QQQ_10d,11,8,2021-04-13,2026-04-28,5.0278,2.1878,45.45454545454545,59.455128205128204,-14.000582750582751,0.7622377622377622,rejection,1.0,-0.6402228317588077,13.97803174991543,-14.618254581674238,-16.180655661669647,-12.496157147790573,1.0,11,8.681925808997633,0,,1,5,0.0011861276004458549,True,False,False,False,False,False,1
50,0.8,high_strength,QQQ_10d,6,5,2021-04-13,2026-04-28,5.0278,1.1934,33.33333333333333,59.457302474062246,-26.123969140728917,0.5114885114885115,rejection,1.0,0.25400143413918386,13.97803174991543,-13.724030315776247,-15.418672210737082,-12.47925059846677,1.0,6,4.73559589581689,1,SOXX,1,5,-0.035562813732562384,False,False,False,False,False,False,0
