ma_window,threshold,event_type,target,horizon,event_n,event_mean,non_event_mean,mean_diff,hit_rate,non_event_hit_rate
20,0.05,low_recovery,SPY,5,8,-0.020599073480908503,0.0027045661803111833,-0.023303639661219688,0.125,0.5941747572815534
20,0.05,low_recovery,SPY,10,8,-0.008229472104790442,0.005368261209906893,-0.013597733314697335,0.375,0.6224390243902439
20,0.05,low_recovery,SPY,20,8,0.020521824822722384,0.00966238047940319,0.010859444343319194,0.75,0.6581280788177339
20,0.05,low_recovery,SPY,60,6,0.04676686617872611,0.030753675509404305,0.016013190669321803,0.6666666666666666,0.7482088024564995
20,0.05,low_recovery,QQQ,5,8,-0.02987512895061528,0.0036556771447751155,-0.0335308060953904,0.125,0.5980582524271845
20,0.05,low_recovery,QQQ,10,8,-0.013064590865415796,0.0073075993800535075,-0.020372190245469303,0.375,0.6078048780487805
20,0.05,low_recovery,QQQ,20,8,0.024874723991119035,0.013129645225788482,0.011745078765330553,0.75,0.6502463054187192
20,0.05,low_recovery,QQQ,60,6,0.046761112698609476,0.04221068192052201,0.004550430778087464,0.5,0.7001023541453428
20,0.05,low_recovery,SOXX,5,8,-0.0392926379879964,0.006250385284325565,-0.045543023272321966,0.25,0.5689320388349515
20,0.05,low_recovery,SOXX,10,8,-0.011455907171417049,0.012365450975259705,-0.023821358146676755,0.5,0.5765853658536585
20,0.05,low_recovery,SOXX,20,8,0.058039900414954285,0.022377216123583402,0.035662684291370886,0.625,0.5812807881773399
20,0.05,low_recovery,SOXX,60,6,0.08361530533914115,0.0675143328080623,0.016100972531078853,0.6666666666666666,0.6479017400204709
20,0.05,low_recovery,IWM,5,8,-0.02114618306526027,0.001904991560576671,-0.02305117462583694,0.25,0.529126213592233
20,0.05,low_recovery,IWM,10,8,-0.004895927402257125,0.003865647462607967,-0.008761574864865092,0.5,0.5531707317073171
20,0.05,low_recovery,IWM,20,8,0.03091471881500618,0.006671888671326971,0.02424283014367921,0.75,0.5527093596059113
20,0.05,low_recovery,IWM,60,6,0.052812205957811054,0.02131394107482649,0.03149826488298456,0.6666666666666666,0.6264073694984647
20,0.05,low_recovery,XLK,5,8,-0.03426231585547121,0.004252362076807033,-0.038514677932278245,0.125,0.5728155339805825
20,0.05,low_recovery,XLK,10,8,-0.013692984970687022,0.008355114994776366,-0.022048099965463388,0.25,0.5892682926829268
20,0.05,low_recovery,XLK,20,8,0.03409074137285199,0.014864882747641448,0.019225858625210545,0.625,0.6226600985221675
20,0.05,low_recovery,XLK,60,6,0.06226186885989652,0.045916805912953926,0.016345062946942594,0.5,0.6806550665301945
20,0.1,low_recovery,SPY,5,9,-0.004103955563089425,0.002582940892070997,-0.006686896455160423,0.6666666666666666,0.5898931000971818
20,0.1,low_recovery,SPY,10,9,2.4372559152305603e-05,0.005308996689730344,-0.005284624130578038,0.4444444444444444,0.6220703125
20,0.1,low_recovery,SPY,20,9,0.017206170180816358,0.00968109985557068,0.007525070325245678,0.6666666666666666,0.6587771203155819
20,0.1,low_recovery,SPY,60,6,0.03148747975892643,0.03084751002170604,0.0006399697372203861,0.5,0.7492323439099283
20,0.1,low_recovery,QQQ,5,9,-0.007059974762483014,0.00348871350862565,-0.010548688271108664,0.5555555555555556,0.5947521865889213
20,0.1,low_recovery,QQQ,10,9,0.0011749064710854856,0.007202342265031005,-0.00602743579394552,0.4444444444444444,0.607421875
20,0.1,low_recovery,QQQ,20,9,0.028041599021845713,0.013089953949613067,0.014951645072232646,0.6666666666666666,0.650887573964497
20,0.1,low_recovery,QQQ,60,6,0.037485915126534784,0.04226764321574459,-0.004781728089209805,0.5,0.7001023541453428
20,0.1,low_recovery,SOXX,5,9,-0.0009390039942227042,0.005959190257433785,-0.006898194251656489,0.4444444444444444,0.5675413022351797
20,0.1,low_recovery,SOXX,10,9,0.010937768628543763,0.012191894604114229,-0.0012541259755704665,0.4444444444444444,0.5771484375
20,0.1,low_recovery,SOXX,20,9,0.05802016707556637,0.022342220971476024,0.03567794610409035,0.5555555555555556,0.5818540433925049
20,0.1,low_recovery,SOXX,60,6,0.08158797418791995,0.06752678315290091,0.014061191035019044,0.5,0.6489252814738997
20,0.1,low_recovery,IWM,5,9,-0.004697546917898612,0.0017835274685451665,-0.006481074386443778,0.5555555555555556,0.5267249757045676
20,0.1,low_recovery,IWM,10,9,-0.004182769266405508,0.003867935696633553,-0.00805070496303906,0.4444444444444444,0.5537109375
20,0.1,low_recovery,IWM,20,9,0.012428399747753276,0.006812060309849256,0.00561633943790402,0.5555555555555556,0.5542406311637081
20,0.1,low_recovery,IWM,60,6,0.03141259491311005,0.021445361408775527,0.009967233504334521,0.5,0.6274309109518935
20,0.1,low_recovery,XLK,5,9,-0.005672190421636297,0.004039731900935083,-0.00971192232257138,0.3333333333333333,0.5714285714285714
20,0.1,low_recovery,XLK,10,9,0.006450625289698654,0.008199602892844717,-0.0017489776031460631,0.4444444444444444,0.587890625
20,0.1,low_recovery,XLK,20,9,0.04063552720082681,0.014787832519754879,0.025847694681071932,0.6666666666666666,0.6222879684418146
20,0.1,low_recovery,XLK,60,6,0.05685637399580292,0.04595000240137211,0.010906371594430808,0.5,0.6806550665301945
20,0.15,low_recovery,SPY,5,11,0.009100725565053279,0.0024545302791213874,0.006646195285931892,0.6363636363636364,0.5900681596884129
20,0.15,low_recovery,SPY,10,11,0.013612064840987537,0.005173091242725421,0.008438973598262116,0.7272727272727273,0.6193737769080235
20,0.15,low_recovery,SPY,20,10,-0.006708323807920968,0.009909747308248002,-0.01661807111616897,0.6,0.6594274432379073
20,0.15,low_recovery,SPY,60,7,0.053139909807588634,0.030691560247036113,0.02244834956055252,0.7142857142857143,0.7479508196721312
20,0.15,low_recovery,QQQ,5,11,0.011364081745524874,0.0033119196965069844,0.00805216204901789,0.6363636363636364,0.5939629990262901
20,0.15,low_recovery,QQQ,10,11,0.019314254037331637,0.00701890004229048,0.012295353995041157,0.6363636363636364,0.6056751467710372
20,0.15,low_recovery,QQQ,20,10,-0.0016400891418947739,0.01336820196201699,-0.015008291103911765,0.6,0.6515301085883515
20,0.15,low_recovery,QQQ,60,7,0.08114922665298362,0.041959383530707765,0.03918984312227585,0.7142857142857143,0.6987704918032787
20,0.15,low_recovery,SOXX,5,11,0.010601018581814654,0.00584902096840448,0.004751997613410174,0.36363636363636365,0.5686465433300877
20,0.15,low_recovery,SOXX,10,11,0.013456952325013165,0.012167234360758042,0.001289717964255123,0.5454545454545454,0.576320939334638
20,0.15,low_recovery,SOXX,20,10,-0.023988170746705985,0.02311655999627231,-0.047104730742978294,0.3,0.5844027640671273
20,0.15,low_recovery,SOXX,60,7,0.08711297226822749,0.06747275018405134,0.01964022208417615,0.8571428571428571,0.6465163934426229
20,0.15,low_recovery,IWM,5,11,0.00860001666607982,0.0016537211874829707,0.0069462954785968496,0.6363636363636364,0.5258033106134372
20,0.15,low_recovery,IWM,10,11,0.007158606701181725,0.0037616208965186985,0.0033969858046630267,0.5454545454545454,0.5528375733855186
20,0.15,low_recovery,IWM,20,10,-0.02084306112083737,0.007134960871792002,-0.027978021992629373,0.5,0.5547877591312932
20,0.15,low_recovery,IWM,60,7,0.034891901782321585,0.021410195034196822,0.013481706748124763,0.5714285714285714,0.6270491803278688
20,0.15,low_recovery,XLK,5,11,0.013094926409842606,0.003857634101031359,0.009237292308811247,0.6363636363636364,0.5686465433300877
20,0.15,low_recovery,XLK,10,11,0.021366777245735134,0.008042479882756548,0.013324297362978585,0.5454545454545454,0.5870841487279843
20,0.15,low_recovery,XLK,20,10,0.00016668633659235876,0.015161811506883479,-0.01499512517029112,0.6,0.6229022704837117
20,0.15,low_recovery,XLK,60,7,0.09715831791505118,0.04564977701302256,0.051508540902028624,0.7142857142857143,0.6793032786885246
20,0.8,high_strength,SPY,5,19,0.004019711750679897,0.0024970913195390904,0.0015226204311408068,0.6842105263157895,0.5888125613346418
20,0.8,high_strength,SPY,10,19,0.006304451028206981,0.005243439244359279,0.0010610117838477017,0.631578947368421,0.6203155818540433
20,0.8,high_strength,SPY,20,18,0.007949251780766374,0.0097795067195246,-0.0018302549387582256,0.5,0.6616915422885572
20,0.8,high_strength,SPY,60,11,0.010124327298021051,0.03108598206736845,-0.020961654769347398,0.6363636363636364,0.7489711934156379
20,0.8,high_strength,QQQ,5,19,0.004699368778026663,0.003372971953612306,0.0013263968244143567,0.6842105263157895,0.592737978410206
20,0.8,high_strength,QQQ,10,19,0.012099643231551882,0.0070570802921420435,0.0050425629394098385,0.631578947368421,0.6055226824457594
20,0.8,high_strength,QQQ,20,18,0.01102544523173358,0.013260825554162246,-0.0022353803224286657,0.6111111111111112,0.6517412935323383
20,0.8,high_strength,QQQ,60,11,0.006617508227927282,0.04264157440538526,-0.03602406617745798,0.5454545454545454,0.7006172839506173
20,0.8,high_strength,SOXX,5,19,-0.0011402985438412866,0.006030639265244697,-0.007170937809085984,0.5263157894736842,0.5672227674190383
20,0.8,high_strength,SOXX,10,19,0.013737147496521569,0.012151808865715931,0.0015853386308056373,0.5789473684210527,0.5759368836291914
20,0.8,high_strength,SOXX,20,18,0.01118139520260314,0.02286162035334322,-0.011680225150740079,0.6111111111111112,0.5810945273631841
20,0.8,high_strength,SOXX,60,11,0.026816409565039227,0.0680742947328151,-0.04125788516777587,0.45454545454545453,0.6502057613168725
20,0.8,high_strength,IWM,5,19,0.003164495224263436,0.001700536244956706,0.0014639589793067301,0.5789473684210527,0.5260058881256133
20,0.8,high_strength,IWM,10,19,0.003432282930688062,0.0038046428543116718,-0.00037235992362360994,0.5263157894736842,0.5532544378698225
20,0.8,high_strength,IWM,20,18,-0.004370869738714065,0.007062647171356991,-0.011433516910071056,0.4444444444444444,0.5562189054726369
20,0.8,high_strength,IWM,60,11,-0.004605438274114678,0.02180170111817655,-0.02640713939229123,0.45454545454545453,0.6286008230452675
20,0.8,high_strength,XLK,5,19,0.004810823317036393,0.003939576809856509,0.000871246507179884,0.5789473684210527,0.5691854759568205
20,0.8,high_strength,XLK,10,19,0.01210465826633413,0.008110907773984152,0.0039937504923499775,0.5789473684210527,0.5867850098619329
20,0.8,high_strength,XLK,20,18,0.012347360164479558,0.015063014365052991,-0.0027156542005734325,0.6111111111111112,0.6228855721393035
20,0.8,high_strength,XLK,60,11,0.007193603409512543,0.046455926905978114,-0.03926232349646557,0.5454545454545454,0.6810699588477366
20,0.9,high_strength,SPY,5,11,-0.0009347424254401968,0.0025620182517556893,-0.003496760677195886,0.6363636363636364,0.5900681596884129
20,0.9,high_strength,SPY,10,11,0.0018967041059321232,0.0052991861234354095,-0.0034024820175032862,0.6363636363636364,0.6203522504892368
