universe,symbols_loaded,symbols_with_features,date_start,date_end,bb_period,bb_std,bbwp_lookback
pool,153,153,2021-02-01,2026-04-21,20,2.0,150
extended,529,529,2021-02-01,2026-04-21,20,2.0,150
