universe,symbols_loaded,symbols_with_features,date_start,date_end,study_start,rvol_lookback,rvol_threshold,pmarp_ema_period,pmarp_lookback,flat_move_threshold,pmarp_low_cutoff,pmarp_high_cutoff
pool,153,153,2021-02-01,2026-04-23,2021-07-01,150,2.0,20,150,0.01,30.0,60.0
extended,529,529,2021-02-01,2026-04-23,2021-07-01,150,2.0,20,150,0.01,30.0,60.0
