ma_window,threshold,event_type,horizon,target,event_n_raw,first_valid_date,last_date,effective_years,events_per_year,event_n,non_event_n,event_mean_pct,baseline_mean_pct,mean_lift_pp,event_median_pct,baseline_median_pct,median_lift_pp,event_hit_pct,baseline_hit_pct,hit_lift_pp,perm_p,perm_sampling_method,perm_success_rate,bootstrap_mean_lift_ci_low_pp,bootstrap_mean_lift_ci_high_pp,bootstrap_share_nonpositive
20,0.2,low_recovery,5,SPY,19,2021-03-01,2026-04-28,5.1468,3.6916,19,1275,-0.3338565219791484,0.25119941553112607,-0.5850559375102745,-0.5343423919275225,0.4540207772220084,-0.9883631691495309,42.10526315789473,59.29411764705882,-17.188854489164086,0.8541458541458542,rejection,1.0,-1.581308206037842,0.3729930759576468,0.896
20,0.2,low_recovery,5,QQQ,19,2021-03-01,2026-04-28,5.1468,3.6916,19,1275,-0.6705038926467957,0.3142155794139307,-0.9847194720607265,-1.4125206745118857,0.4718378401252554,-1.884358514637141,42.10526315789473,58.82352941176471,-16.718266253869974,0.9300699300699301,rejection,1.0,-2.400182681783775,0.37365132741514356,0.912
20,0.2,low_recovery,5,SOXX,19,2021-03-01,2026-04-28,5.1468,3.6916,18,1238,-0.734758395800777,0.5198372881296187,-1.2545956839303956,-0.8242245597059383,0.7123670494413314,-1.5365916091472698,38.88888888888889,56.219709208400644,-17.33082031951176,0.8631368631368631,rejection,1.0,-3.115848159917313,0.5839498327636335,0.898
20,0.2,low_recovery,10,SPY,19,2021-03-01,2026-04-28,5.1468,3.6916,19,1270,-0.3468793225125809,0.5119406954292113,-0.8588200179417922,0.46100030115596713,0.7622415039568398,-0.30124120280087263,57.89473684210527,61.96850393700788,-4.073767094902614,0.8681318681318682,rejection,1.0,-2.6299656258257356,0.8241701519418322,0.838
20,0.2,low_recovery,10,QQQ,19,2021-03-01,2026-04-28,5.1468,3.6916,19,1270,-0.7141319972299199,0.6489132756045388,-1.3630452728344586,-0.58436274872401,0.9539142206675066,-1.5382769693915166,42.10526315789473,60.15748031496063,-18.052217157065897,0.9270729270729271,rejection,1.0,-3.5316599807035205,0.7521820286970061,0.888
20,0.2,low_recovery,10,SOXX,19,2021-03-01,2026-04-28,5.1468,3.6916,18,1233,-0.589602095623257,1.0874113433455819,-1.6770134389688391,-2.22841162961081,1.1123706957630874,-3.3407823253738975,44.44444444444444,57.17761557177615,-12.73317112733171,0.8391608391608392,rejection,1.0,-4.488208631212135,0.9856623503012724,0.876
20,0.2,low_recovery,20,SPY,19,2021-03-01,2026-04-28,5.1468,3.6916,19,1260,1.230388028596989,0.9750012314161545,0.2553867971808345,3.2186147186147096,1.6117147095958462,1.6069000090188634,68.42105263157895,66.11111111111111,2.3099415204678397,0.3036963036963037,rejection,1.0,-2.5231213623023363,2.476513871309536,0.396
20,0.2,low_recovery,20,QQQ,19,2021-03-01,2026-04-28,5.1468,3.6916,19,1260,1.0859834878218633,1.2383119366644273,-0.15232844884256383,2.059439095855997,1.7699633088317124,0.2894757870242848,63.1578947368421,64.04761904761904,-0.8897243107769404,0.47152847152847155,rejection,1.0,-3.1437325999180343,2.639571193978224,0.52
20,0.2,low_recovery,20,SOXX,19,2021-03-01,2026-04-28,5.1468,3.6916,18,1223,1.9477524008644294,2.1095413416027133,-0.161788940738284,0.7583342076635469,1.819194356784859,-1.060860149121312,55.55555555555556,59.19869174161897,-3.6431361860634115,0.47152847152847155,rejection,1.0,-4.698572611160801,4.7546419075357536,0.54
20,0.2,low_recovery,60,SPY,13,2021-03-01,2026-04-28,5.1468,2.5258,12,1227,3.452232755913064,2.727927552757186,0.7243052031558783,2.6931316636045755,3.735341315886931,-1.0422096522823554,66.66666666666666,72.53463732681337,-5.867970660146704,0.1508097165991903,rejection,0.987,-3.513090068533273,4.863228645250205,0.364
20,0.2,low_recovery,60,QQQ,13,2021-03-01,2026-04-28,5.1468,2.5258,12,1227,4.667154263746426,3.480718461919699,1.1864358018267267,5.79408459992864,4.7192300900582795,1.07485450987036,66.66666666666666,68.37815810920945,-1.7114914425427896,0.09929078014184398,rejection,0.986,-5.011446939015187,7.255157447605674,0.378
20,0.2,low_recovery,60,SOXX,13,2021-03-01,2026-04-28,5.1468,2.5258,11,1190,7.3530003728305635,5.696853066397933,1.6561473064326302,0.8852617746732072,6.280613243517152,-5.395351468843945,63.63636363636363,63.52941176470588,0.10695187165775666,0.11288711288711288,rejection,1.0,-7.210995600224352,11.932910971205567,0.4
20,0.25,low_recovery,5,SPY,22,2021-03-01,2026-04-28,5.1468,4.2745,22,1272,0.04571389534730615,0.24601436728533113,-0.200300471938025,0.2834603242033773,0.44911786066413883,-0.16565753646076153,54.54545454545454,59.11949685534591,-4.574042309891368,0.6713286713286714,rejection,1.0,-1.6132121566460367,0.9074590414060628,0.618
20,0.25,low_recovery,5,QQQ,22,2021-03-01,2026-04-28,5.1468,4.2745,22,1272,-0.21457108877112205,0.3086524007432683,-0.5232234895143903,-0.49210415791228757,0.46235282559687896,-0.9544569835091665,45.45454545454545,58.80503144654088,-13.350485991995425,0.7982017982017982,rejection,1.0,-2.339582725331972,1.1478149196181433,0.734
20,0.25,low_recovery,5,SOXX,22,2021-03-01,2026-04-28,5.1468,4.2745,21,1235,0.10215779454402693,0.5086539254207527,-0.4064961308767258,-0.4827220815918021,0.7032478948829413,-1.1859699764747433,47.61904761904761,56.11336032388664,-8.494312704839025,0.673,rejection,0.999,-2.9330430057279653,2.0059906069781497,0.636
20,0.25,low_recovery,10,SPY,22,2021-03-01,2026-04-28,5.1468,4.2745,22,1267,0.3857412506300168,0.5012530927809778,-0.11551184215096102,0.7990345393615872,0.7596758152231375,0.03935872413844965,59.09090909090909,61.957379636937645,-2.8664705460285544,0.538,rejection,0.999,-2.0286833533998356,1.4202475348396522,0.548
20,0.25,low_recovery,10,QQQ,22,2021-03-01,2026-04-28,5.1468,4.2745,22,1267,0.3757121623406538,0.6332167991309405,-0.2575046367902867,-0.0033984597620329016,0.9530659953245646,-0.9564644550865975,50.0,60.063141278610885,-10.063141278610887,0.623,rejection,0.999,-2.5757122567781883,1.8693093380320585,0.604
20,0.25,low_recovery,10,SOXX,22,2021-03-01,2026-04-28,5.1468,4.2745,21,1230,1.8419684268887113,1.0499870013489605,0.7919814255397508,1.768714300030072,1.108301774084497,0.6604125259455751,57.14285714285714,56.99186991869919,0.15098722415795018,0.26573426573426573,rejection,1.0,-2.1342336735348226,4.177446215351368,0.284
20,0.25,low_recovery,20,SPY,22,2021-03-01,2026-04-28,5.1468,4.2745,22,1257,1.8016550447005995,0.9643934074337982,0.8372616372668013,2.767799944739757,1.6092623607369072,1.15853758400285,68.18181818181817,66.10978520286396,2.072032978954219,0.11611611611611612,rejection,0.998,-1.4248434276015716,2.781279340889058,0.262
20,0.25,low_recovery,20,QQQ,22,2021-03-01,2026-04-28,5.1468,4.2745,22,1257,2.0476843972277328,1.2218438104429463,0.8258405867847863,1.7510033317117757,1.778745363651013,-0.02774203193923741,72.72727272727273,63.88225934765315,8.845013379619582,0.1961961961961962,rejection,0.998,-1.8852287815320032,3.6598678592371177,0.284
20,0.25,low_recovery,20,SOXX,22,2021-03-01,2026-04-28,5.1468,4.2745,21,1220,3.3852670371898466,2.0851950788645013,1.3000719583253453,2.5174631717269413,1.7906349190445647,0.7268282526823766,61.904761904761905,59.0983606557377,2.806401249024204,0.23576423576423577,rejection,1.0,-3.171801435156395,5.559948367744067,0.32
20,0.25,low_recovery,60,SPY,14,2021-03-01,2026-04-28,5.1468,2.7201,13,1226,3.9979646727865386,2.7215500485789548,1.276414624207584,4.140451638167342,3.7340340684287376,0.4064175697386041,69.23076923076923,72.51223491027733,-3.2814656795081,0.06060606060606061,rejection,0.989,-2.382817606478748,4.997512115482431,0.294
20,0.25,low_recovery,60,QQQ,14,2021-03-01,2026-04-28,5.1468,2.7201,13,1226,5.219817837910193,3.4738905155363744,1.7459273223738185,4.2263694545699115,4.725197451584872,-0.49882799701496117,69.23076923076923,68.35236541598695,0.8784038147822804,0.05673758865248227,rejection,0.986,-4.272888303206707,7.641468138671657,0.322
20,0.25,low_recovery,60,SOXX,14,2021-03-01,2026-04-28,5.1468,2.7201,12,1189,7.581307696616091,5.6931559804501966,1.8881517161658943,4.123481951166386,6.272684969753373,-2.149203018586987,66.66666666666666,63.498738435660215,3.167928231006445,0.16116116116116116,rejection,0.998,-6.587478555009363,12.11511138196432,0.386
20,0.3,low_recovery,5,SPY,28,2021-03-01,2026-04-28,5.1468,5.4402,28,1266,0.1966254448999497,0.24362596242289364,-0.04700051752294394,0.6848663884761907,0.4437035779999543,0.24116281047623644,60.71428571428571,59.0047393364929,1.7095463777928144,0.4732334047109208,rejection,0.466,-1.0690263348108802,0.9723961403333284,0.514
20,0.3,low_recovery,5,QQQ,28,2021-03-01,2026-04-28,5.1468,5.4402,28,1266,0.10967699795859573,0.30396076923351656,-0.19428377127492083,1.00177666396708,0.442343661791067,0.559433002176013,60.71428571428571,58.53080568720379,2.183480027081919,0.5456475583864119,rejection,0.47,-1.606349856957797,1.0402414564107567,0.572
20,0.3,low_recovery,5,SOXX,28,2021-03-01,2026-04-28,5.1468,5.4402,27,1229,0.5546744902128837,0.5006970710694112,0.05397741914347255,0.7469396223805047,0.6844431769570836,0.06249644542342114,59.25925925925925,55.89910496338486,3.3601542958743957,0.37362637362637363,rejection,0.454,-2.0501657621408524,1.9208492747219925,0.482
20,0.3,low_recovery,10,SPY,28,2021-03-01,2026-04-28,5.1468,5.4402,28,1261,0.8344396990272415,0.4918395436118926,0.34260015541534894,1.9297779739250176,0.755884268304019,1.1738937056209986,64.28571428571429,61.855670103092784,2.4300441826215047,0.20353982300884957,rejection,0.451,-1.1554037269644883,1.6390093614403807,0.288
20,0.3,low_recovery,10,QQQ,28,2021-03-01,2026-04-28,5.1468,5.4402,28,1261,0.9739894519739325,0.6211575316535495,0.3528319203203831,1.8010281797501304,0.9414428987382539,0.8595852810118765,67.85714285714286,59.71451229183188,8.142630565310983,0.210989010989011,rejection,0.454,-1.466349386026419,1.8155702383686825,0.308
20,0.3,low_recovery,10,SOXX,28,2021-03-01,2026-04-28,5.1468,5.4402,27,1224,2.2281579303280226,1.0375858533537805,1.190572076974242,1.768714300030072,1.0856073082148532,0.6831069918152188,74.07407407407408,56.61764705882353,17.45642701525054,0.11724137931034483,rejection,0.434,-1.322235761395974,3.4308422464002994,0.17
20,0.3,low_recovery,20,SPY,28,2021-03-01,2026-04-28,5.1468,5.4402,28,1251,1.9991011851119405,0.9559585059508898,1.0431426791610505,2.515545459829116,1.6092623607369072,0.9062830990922088,75.0,65.94724220623502,9.052757793764988,0.029914529914529916,rejection,0.467,-0.5567033876424046,2.4474443066659757,0.11
20,0.3,low_recovery,20,QQQ,28,2021-03-01,2026-04-28,5.1468,5.4402,28,1251,2.4647634794525612,1.2085478409601296,1.2562156384924317,3.0396980454417744,1.7611812540124117,1.2785167914293627,78.57142857142857,63.70903277378097,14.862395797647599,0.05963302752293578,rejection,0.435,-0.963409752753457,3.351019129638884,0.118
20,0.3,low_recovery,20,SOXX,28,2021-03-01,2026-04-28,5.1468,5.4402,27,1214,3.779755134142046,2.0699960587922925,1.7097590753497534,1.8732394366197225,1.8032696694090355,0.06996976721068693,59.25925925925925,59.14332784184514,0.11593141741411683,0.09868421052631579,rejection,0.455,-1.5163688729741889,5.279683126662914,0.162
20,0.3,low_recovery,60,SPY,17,2021-03-01,2026-04-28,5.1468,3.303,16,1223,4.268501465138265,2.714879703075888,1.5536217620623776,5.829159543924433,3.7149246194907226,2.114234924433711,75.0,72.44480784955029,2.5551921504497144,0.024975024975024976,sequential,1.0,-1.61282195204264,4.785990038104228,0.184
20,0.3,low_recovery,60,QQQ,17,2021-03-01,2026-04-28,5.1468,3.303,16,1223,5.513433761383513,3.465766528011685,2.0476672333718278,6.128540312528507,4.684669139849862,1.4438711726786457,75.0,68.27473426001636,6.7252657399836435,0.012987012987012988,sequential,1.0,-2.4140644799752553,6.728297290102754,0.214
20,0.3,low_recovery,60,SOXX,17,2021-03-01,2026-04-28,5.1468,3.303,15,1186,10.612281989023575,5.650045466508704,4.962236522514871,10.245775729646688,6.239358113305604,4.006417616341085,73.33333333333333,63.40640809443507,9.926925238898255,0.003937007874015748,rejection,0.253,-3.7722185017807672,13.329316552403359,0.132
20,0.7,high_strength,5,SPY,29,2021-03-01,2026-04-28,5.1468,5.6345,29,1265,0.5951371552354862,0.23452727540138568,0.3606098798341004,0.46788034680798063,0.4464197138945636,0.021460632913417044,75.86206896551724,58.656126482213445,17.205942483303794,0.1912751677852349,rejection,0.893,-0.14217944546452221,0.8685459363863229,0.082
20,0.7,high_strength,5,QQQ,29,2021-03-01,2026-04-28,5.1468,5.6345,29,1265,0.6778462664318532,0.2910891289058884,0.38675713752596474,0.019750021160724884,0.4611181680558074,-0.4413681468950825,51.724137931034484,58.735177865612656,-7.011039934578167,0.2081447963800905,rejection,0.883,-0.3749384177387478,1.1317666782202482,0.176
20,0.7,high_strength,5,SOXX,29,2021-03-01,2026-04-28,5.1468,5.6345,28,1228,0.46402955003013124,0.502719938256686,-0.0386903882265548,0.17466740415126303,0.7034904711866408,-0.5288230670353777,50.0,56.10749185667753,-6.107491856677527,0.542825361512792,rejection,0.898,-1.225664506145967,1.3040514343514966,0.534
20,0.7,high_strength,10,SPY,29,2021-03-01,2026-04-28,5.1468,5.6345,29,1260,0.5634535756896656,0.4978046209304436,0.06564895475922204,0.7437426246817092,0.7622415039568398,-0.01849887927513061,62.06896551724138,61.904761904761905,0.16420361247947435,0.4774774774774775,rejection,0.887,-1.0059230815223479,1.0750864866134104,0.406
20,0.7,high_strength,10,QQQ,29,2021-03-01,2026-04-28,5.1468,5.6345,29,1260,0.7866755127222392,0.6251887001598818,0.16148681256235733,1.484922861150073,0.9472791884732268,0.5376436726768463,55.172413793103445,60.0,-4.82758620689655,0.4580498866213152,rejection,0.881,-1.293105330006009,1.8034793128832236,0.38
20,0.7,high_strength,10,SOXX,29,2021-03-01,2026-04-28,5.1468,5.6345,28,1223,0.7062300169856138,1.0714561800067757,-0.3652261630211618,1.5407731034190908,1.1116311724783667,0.42914193094072406,57.14285714285714,56.991005723630416,0.15185141922672285,0.6933638443935927,rejection,0.873,-2.9174340312128058,1.93905060484689,0.62
20,0.7,high_strength,20,SPY,29,2021-03-01,2026-04-28,5.1468,5.6345,28,1251,0.9028485830567987,0.9804949350936107,-0.077646352036812,1.6863306264240152,1.6141670584547851,0.07216356796923007,67.85714285714286,66.10711430855316,1.7500285485896994,0.590443686006826,rejection,0.878,-1.6369608923676509,1.4975844276904178,0.546
20,0.7,high_strength,20,QQQ,29,2021-03-01,2026-04-28,5.1468,5.6345,28,1251,1.0569480518683116,1.2400576986518637,-0.18310964678355193,1.8472322686591602,1.7611812540124117,0.08605101464674858,60.71428571428571,64.10871302957634,-3.394427315290627,0.6548974943052391,rejection,0.877,-2.4720977027133153,2.0496776545760325,0.564
20,0.7,high_strength,20,SOXX,29,2021-03-01,2026-04-28,5.1468,5.6345,27,1214,1.0883901491220953,2.1298534349006437,-1.0414632857785484,3.2459025938109676,1.7906349190445647,1.4552676747664028,59.25925925925925,59.14332784184514,0.11593141741411683,0.7801578354002254,rejection,0.886,-4.921823784462336,2.1258299664741704,0.718
20,0.7,high_strength,60,SPY,16,2021-03-01,2026-04-28,5.1468,3.1087,15,1224,1.7385799648357299,2.7471529418557905,-1.0085729770200607,3.6809543872097894,3.736774845579527,-0.05582045836973748,66.66666666666666,72.54901960784314,-5.882352941176472,0.6289180990899899,rejection,0.988,-5.544400503049592,2.5616234947187095,0.69
20,0.7,high_strength,60,QQQ,16,2021-03-01,2026-04-28,5.1468,3.1087,15,1224,1.9990516479838916,3.5105078670103507,-1.511456219026459,3.7707390648567207,4.725197451584872,-0.954458386728152,66.66666666666666,68.38235294117648,-1.715686274509809,0.6676798378926039,rejection,0.986,-7.685744049622946,2.89665219742039,0.768
20,0.7,high_strength,60,SOXX,16,2021-03-01,2026-04-28,5.1468,3.1087,14,1187,5.6137265444291256,5.713181113304692,-0.099454568875567,8.388078765956264,6.272684969753373,2.1153937962028913,57.14285714285714,63.60572872788543,-6.462871585028285,0.32732732732732733,rejection,0.998,-9.22291650530988,8.834955604705941,0.51
20,0.75,high_strength,5,SPY,23,2021-03-01,2026-04-28,5.1468,4.4688,23,1271,0.7891932542370614,0.23271796698436628,0.5564752872526951,0.5414089485099138,0.4464197138945636,0.09498923461535025,69.56521739130434,58.85129819040126,10.713919200903089,0.08102345415778252,rejection,0.937,0.10223835173542935,1.0372835367355524,0.012
20,0.75,high_strength,5,QQQ,23,2021-03-01,2026-04-28,5.1468,4.4688,23,1271,0.9716750353581892,0.2875977686697358,0.6840772666884535,0.41035467659713554,0.4611181680558074,-0.05076349145867187,56.52173913043478,58.61526357199056,-2.093524441555783,0.1460554371002132,rejection,0.937,-0.13142537491520645,1.5736224602603839,0.066
20,0.75,high_strength,5,SOXX,23,2021-03-01,2026-04-28,5.1468,4.4688,22,1234,0.6200168694323902,0.49975084315440965,0.12026602627798053,0.4916406725470779,0.6988763130982067,-0.20723564055112886,54.54545454545454,55.9967585089141,-1.4513039634595604,0.43576017130620986,rejection,0.933,-1.451378132807273,1.7592685872504121,0.424
20,0.75,high_strength,10,SPY,23,2021-03-01,2026-04-28,5.1468,4.4688,23,1266,0.597458968580564,0.49749796191943635,0.0999610066611277,0.8980641015342572,0.7552756440156405,0.14278845751861668,73.91304347826086,61.69036334913112,12.222680129129749,0.41569459172852596,rejection,0.942,-1.2656770354678475,1.4391013479067927,0.424
20,0.75,high_strength,10,QQQ,23,2021-03-01,2026-04-28,5.1468,4.4688,23,1266,0.7414380506435986,0.6267758901308003,0.11466216051279829,1.5582631331573893,0.9441422840345326,0.6141208491228567,69.56521739130434,59.71563981042654,9.84957758087781,0.4586864406779661,rejection,0.943,-1.7281708351763039,2.0009183367528607,0.46
20,0.75,high_strength,10,SOXX,23,2021-03-01,2026-04-28,5.1468,4.4688,22,1229,0.36291015889873823,1.0758188162148998,-0.7129086573161615,0.5897541224106573,1.1122994652406515,-0.5225453428299942,50.0,57.11960943856794,-7.119609438567942,0.6988210075026795,rejection,0.932,-3.682758379303285,2.5052540440492033,0.672
20,0.75,high_strength,20,SPY,23,2021-03-01,2026-04-28,5.1468,4.4688,22,1257,1.162420786659747,0.975581278298475,0.18683950836127194,1.5880357469334583,1.6146580287819567,-0.026622281848498464,72.72727272727273,66.030230708035,6.6970420192377205,0.4053763440860215,rejection,0.929,-1.5648935584739478,1.8956286049655997,0.442
20,0.75,high_strength,20,QQQ,23,2021-03-01,2026-04-28,5.1468,4.4688,22,1257,1.4074405206732346,1.2330493516396044,0.1743911690336301,2.008713641577198,1.7611812540124117,0.24753238756478613,68.18181818181817,63.961813842482094,4.22000433933608,0.4573560767590618,rejection,0.937,-2.6463215988677726,2.6060750206732095,0.438
20,0.75,high_strength,20,SOXX,23,2021-03-01,2026-04-28,5.1468,4.4688,21,1220,0.838100859861218,2.129039742572617,-1.290938882711399,0.18332794133506525,1.8368120536037313,-1.653484112268666,52.38095238095239,59.26229508196721,-6.881342701014825,0.7719112988384371,rejection,0.946,-5.842705688172526,2.6688447929198236,0.718
20,0.75,high_strength,60,SPY,14,2021-03-01,2026-04-28,5.1468,2.7201,13,1226,2.292272225373684,2.7396365100931206,-0.4473642847194367,3.3584870504937525,3.736774845579527,-0.37828779508577437,76.92307692307693,72.43066884176183,4.492408081315102,0.5524475524475524,rejection,1.0,-5.114502206418663,3.4348298643838704,0.586
20,0.75,high_strength,60,QQQ,14,2021-03-01,2026-04-28,5.1468,2.7201,13,1226,3.0284481329182897,3.497126899031395,-0.46867876611310505,4.290332672854302,4.725197451584872,-0.4348647787305704,76.92307692307693,68.27079934747145,8.65227757560547,0.546,rejection,0.999,-5.9370778643598925,4.94324163492277,0.498
20,0.75,high_strength,60,SOXX,14,2021-03-01,2026-04-28,5.1468,2.7201,12,1189,4.703077202525698,5.722204564074322,-1.0191273615486238,3.0018308191895935,6.288541517280932,-3.2867106980913388,50.0,63.666947014297726,-13.666947014297726,0.5174825174825175,rejection,1.0,-10.958648757302896,7.968751771344931,0.562
20,0.8,high_strength,5,SPY,14,2021-03-01,2026-04-28,5.1468,2.7201,14,1280,0.343775502946165,0.241502440502606,0.10227306244355899,0.23307840301460825,0.4501884062748429,-0.21711000326023466,57.14285714285714,59.06249999999999,-1.9196428571428559,0.4245754245754246,rejection,1.0,-0.731689232261004,0.7980616633647318,0.41
20,0.8,high_strength,5,QQQ,14,2021-03-01,2026-04-28,5.1468,2.7201,14,1280,0.4402564794303161,0.2982200774066001,0.142036402023716,-0.031043997938312584,0.46235282559687896,-0.49339682353519154,50.0,58.67187499999999,-8.671874999999996,0.4075924075924076,rejection,1.0,-1.1065334534718785,1.3004229803280314,0.378
20,0.8,high_strength,5,SOXX,14,2021-03-01,2026-04-28,5.1468,2.7201,13,1243,0.021307384838172766,0.5068832788231359,-0.48557589398496304,-0.5721168322794346,0.7032478948829413,-1.2753647271623758,46.15384615384615,56.074014481094125,-9.92016832724797,0.6433566433566433,rejection,1.0,-2.8161362687793337,1.7821898793844448,0.666
20,0.8,high_strength,10,SPY,14,2021-03-01,2026-04-28,5.1468,2.7201,14,1275,0.38235678913608623,0.5005654753093758,-0.11820868617328953,0.9608207268029911,0.755884268304019,0.20493645849897213,71.42857142857143,61.80392156862745,9.624649859943979,0.5314685314685315,rejection,1.0,-2.034725703444256,1.60027253012272,0.542
20,0.8,high_strength,10,QQQ,14,2021-03-01,2026-04-28,5.1468,2.7201,14,1275,0.6194566094613092,0.628924674147402,-0.00946806468609283,1.2744338732796678,0.9447619047619149,0.32967196851775293,71.42857142857143,59.76470588235294,11.663865546218489,0.4785214785214785,rejection,1.0,-2.860857083694404,2.869118154161371,0.518
20,0.8,high_strength,10,SOXX,14,2021-03-01,2026-04-28,5.1468,2.7201,13,1238,0.7257879554667912,1.0668256100184297,-0.3410376545516384,1.1795082448213146,1.111965318859509,0.06754292596180544,53.84615384615385,57.027463651050084,-3.1813098048962374,0.5464535464535465,rejection,1.0,-5.160062996179253,4.542235933116885,0.574
20,0.8,high_strength,20,SPY,14,2021-03-01,2026-04-28,5.1468,2.7201,13,1266,1.0916886743954386,0.9776358383574697,0.11405283603796897,1.152384672751161,1.6175741808250987,-0.46518950807393766,61.53846153846154,66.19273301737756,-4.654271478916028,0.4175824175824176,rejection,1.0,-2.504975788168897,2.484509688266264,0.428
20,0.8,high_strength,20,QQQ,14,2021-03-01,2026-04-28,5.1468,2.7201,13,1266,0.9779644863904258,1.2386992007446431,-0.2607347143542174,0.748774637605587,1.7861989812429035,-1.0374243436373165,53.84615384615385,64.13902053712481,-10.292866690970959,0.5804195804195804,rejection,1.0,-3.5353546714611452,3.2546176453423983,0.544
20,0.8,high_strength,20,SOXX,14,2021-03-01,2026-04-28,5.1468,2.7201,12,1229,-0.4260081390486836,2.1319289679937037,-2.5579371070423873,0.8727232823590114,1.819194356784859,-0.9464710744258475,58.333333333333336,59.15378356387306,-0.8204502305397265,0.8151848151848152,rejection,1.0,-8.079028691668382,2.52934165226502,0.844
20,0.8,high_strength,60,SPY,9,2021-03-01,2026-04-28,5.1468,1.7487,8,1231,1.4372423611050178,2.74337608563378,-1.3061337245287623,2.8771478623377145,3.735341315886931,-0.8581934535492164,75.0,72.46141348497157,2.5385865150284292,0.6223776223776224,rejection,1.0,-9.149359025584616,5.151915063892363,0.65
20,0.8,high_strength,60,QQQ,9,2021-03-01,2026-04-28,5.1468,1.7487,8,1231,1.2450741606791604,3.506813006218516,-2.2617388455393557,4.8747382501916565,4.7192300900582795,0.15550816013337743,62.5,68.39967506092609,-5.8996750609260795,0.7442557442557443,rejection,1.0,-12.0991903944978,6.3308982532639435,0.66
20,0.8,high_strength,60,SOXX,9,2021-03-01,2026-04-28,5.1468,1.7487,7,1194,1.2089379289487865,5.738421765169208,-4.529483836220422,-2.64900662251657,6.280613243517152,-8.929619866033722,42.857142857142854,63.65159128978225,-20.794448432639395,0.7892107892107892,rejection,1.0,-20.87300224504397,12.036408239510141,0.676
50,0.2,low_recovery,5,SPY,7,2021-04-13,2026-04-28,5.0278,1.3923,7,1257,-0.39435999736385785,0.22276947435113487,-0.6171294717149927,-0.19272351226850004,0.43656797060731556,-0.6292914828758156,42.857142857142854,58.711217183770884,-15.854074326628027,0.6993006993006993,rejection,1.0,-2.8802417791938133,1.536734430097817,0.702
