universe,return_type,signal_label,horizon,n_events_raw,n_events_dedup,n_events_scored,n_effective,mean_event_return,median_event_return,hit_rate_event,p10_event_return,p25_event_return,p75_event_return,p90_event_return,mean_cluster_return,median_cluster_return,hit_rate_cluster,t_stat,p_value,p_fdr
pool,raw,rvol_up2_all,5,5853,4854,4834,1001,0.009077264284449472,0.004043737047101703,0.538063715349607,-0.06908994830476801,-0.027134284966289418,0.03813411809957512,0.08436791029625021,0.011167894266603123,0.006856391179228205,0.5594405594405595,3.8680283835608744,0.00011681564022264954,0.0002123920731320901
pool,raw,rvol_up2_all,10,5853,4248,4219,960,0.016870763767715385,0.008594983336256856,0.560322351268073,-0.08517591364575146,-0.0326929555690742,0.053672989155268414,0.11403255398130632,0.020606936420154043,0.009717698384753264,0.5729166666666666,5.4179368477580105,7.626331433735447e-08,6.101065146988358e-07
pool,raw,rvol_up2_all,20,5853,3417,3382,888,0.027963422066762774,0.015549977501400192,0.5668243642814902,-0.11274715354349531,-0.04893615504521265,0.08192346304417564,0.1672637196611667,0.028208136803083577,0.01720602381351083,0.5720720720720721,6.0869452055450965,1.7112069701469216e-09,2.2816092935292288e-08
pool,raw,rvol_up2_all,40,5853,2380,2311,800,0.0505802000611922,0.022169437846397466,0.5564690610125487,-0.1585365853658537,-0.0684907839353745,0.12488779174147213,0.2597165707871476,0.05166696455480332,0.02552855165170198,0.58,6.4569833467609214,1.852875985572966e-10,7.411503942291865e-09
pool,raw,rvol_up2_base_proxy,5,589,567,565,261,0.00010442799126669307,0.0008411092127742492,0.5097345132743363,-0.05193201510775377,-0.020290098049899563,0.02383258282285383,0.04935732240761635,-0.001759564638460183,0.0010740417533732227,0.5095785440613027,-0.4502828828740858,0.6528817060019914,0.6528817060019914
pool,raw,rvol_up2_base_proxy,10,589,558,556,257,0.006040475411038154,0.003811618377478454,0.5323741007194245,-0.07568481108933539,-0.02915071276199635,0.043033289640812655,0.07729760865882118,0.005883426446212798,-0.0022652388797363976,0.48638132295719844,1.1294727901983634,0.2597556578467309,0.2808169274018712
pool,raw,rvol_up2_base_proxy,20,589,538,534,249,0.009220568693494868,0.009276370239194143,0.5393258426966292,-0.10326629789910834,-0.048053861743722726,0.06133488374797019,0.11208947210554704,0.00781799259868303,0.0063888130974371704,0.5220883534136547,1.1377588294181176,0.25631919975436757,0.2808169274018712
pool,raw,rvol_up2_base_proxy,40,589,492,476,217,0.026453539603081992,0.015921604498381536,0.5567226890756303,-0.13530918178084023,-0.05956971142219572,0.09019583996822866,0.18311008452677502,0.026325783111063837,0.017897091722595126,0.5576036866359447,2.4206683769259922,0.01631849595069825,0.021056123807352584
pool,raw,rvol_up2_churn_proxy,5,1483,1354,1344,635,0.011109257416010826,0.0034310896066224172,0.5372023809523809,-0.07801724468288938,-0.0309001843410594,0.04098998467735876,0.09157734612801673,0.012806878373271978,0.006181511660578787,0.5637795275590551,3.2217686243363195,0.001339246161021364,0.0020603787092636373
pool,raw,rvol_up2_churn_proxy,10,1483,1257,1244,603,0.022656153522893848,0.010743871587058584,0.5779742765273312,-0.08960624057315233,-0.0335735275847292,0.05913005527858456,0.13644495393862213,0.021625392008595798,0.00902683081414346,0.5704809286898839,4.3748778327181865,1.4320177215279918e-05,2.864035443055984e-05
pool,raw,rvol_up2_churn_proxy,20,1483,1143,1128,567,0.0332655131848838,0.009726435748955153,0.5407801418439716,-0.12302538352634612,-0.051803309627353133,0.08076053548955209,0.1974598122499317,0.03735123714957059,0.016730663741086005,0.5537918871252204,4.861988483870043,1.5076227803341761e-06,5.815984346575497e-06
pool,raw,rvol_up2_churn_proxy,40,1483,1013,991,521,0.042084523633414604,0.007592775631233728,0.515640766902119,-0.19173885484893294,-0.08561911512207976,0.11886757065477305,0.2582247051520794,0.048763191525034555,0.008884940026654853,0.5393474088291746,4.493124579961383,8.656206911924423e-06,1.923601535983205e-05
pool,raw,rvol_up2_panic_proxy,5,1600,1461,1455,596,0.008296008747162168,0.005814566043742975,0.5498281786941581,-0.06693044547370901,-0.02776626202766641,0.0420603611343332,0.0849158500332132,0.0026294784647139867,0.0034425851731016755,0.5335570469798657,1.1022233671224038,0.27081021343716477,0.2850633825654366
pool,raw,rvol_up2_panic_proxy,10,1600,1364,1354,577,0.014469909940774687,0.009786746570952243,0.5679468242245199,-0.0811753152150137,-0.031027864377306313,0.05565305337819815,0.10625531354120808,0.008825109311021876,0.00771641553336716,0.5493934142114385,2.5525374626968156,0.010950966610526584,0.014601288814035444
