universe,bucket,raw_events,symbols
pool,rvol_up2_all,5853,152
pool,rvol_up2_base_proxy,589,132
pool,rvol_up2_churn_proxy,1483,150
pool,rvol_up2_panic_proxy,1600,149
pool,rvol_up2_pmarp_high,1784,150
pool,rvol_up2_pmarp_low,2101,149
pool,rvol_up2_pmarp_mid,1968,151
pool,rvol_up2_sign_flat,1083,142
pool,rvol_up2_sign_neg,2344,151
pool,rvol_up2_sign_pos,2426,150
extended,rvol_up2_all,21947,523
extended,rvol_up2_base_proxy,3199,499
extended,rvol_up2_churn_proxy,4326,520
extended,rvol_up2_panic_proxy,5760,520
extended,rvol_up2_pmarp_high,5725,521
extended,rvol_up2_pmarp_low,8111,520
extended,rvol_up2_pmarp_mid,8111,521
extended,rvol_up2_sign_flat,5875,512
extended,rvol_up2_sign_neg,8524,521
extended,rvol_up2_sign_pos,7548,521
